اسم الصالون,الحي,العنوان,رقم الجوال,رابط الإنستغرام,رابط الواتساب,ملاحظات
لي ماجنفيك,الصحافة,طريق الثمامة، حي الصحافة، الرياض,966563602725,lemagnifiqueksa,غير متوفر,مركز فخم متكامل للحلاقة والعناية بالرجل
Handsome Salon,الصحافة,مجمع جمانة بلازا، طريق الإمام سعود بن فيصل، الصحافة,966500252880,handsome.salon,واتساب,خدمات حلاقة في أجواء احترافية
Charismatic Barbershop,الصحافة,شارع الإمام سعود بن فيصل، حي الصحافة، الرياض,غير متوفر,غير متوفر,غير متوفر,خدمات حلاقة + باقات للطلاب
صالون بارما,النرجس,طريق عثمان بن عفان، حي النرجس، الرياض,+966 56 358 3011,barma_barber_shop1,غير متوفر,تقييم 4.9 من 5، باقات عناية بالشعر والبشرة
صالون 30 ديقريز,النرجس,شارع السلامة، حي النرجس، الرياض,+966 9200 35655,غير متوفر,غير متوفر,تقييم 4.9 من 5، خدمات حلاقة الشعر والذقن
حلاق نجوم النرجس,النرجس,شارع يدمة، حي النرجس، الرياض,غير متوفر,غير متوفر,غير متوفر,تقييم 4.9 من 5، خدمات حلاقة متكاملة
صالون وقار الشيب,النرجس,طريق أنس بن مالك، حي النرجس، الرياض,غير متوفر,غير متوفر,غير متوفر,عروض افتتاحية وخدمات حلاقة الشعر والذقن
حلاق ركن النرجس,النرجس,حي النرجس، الرياض,+966 55 284 2754,غير متوفر,غير متوفر,حلاق رجالي يقدم خدمات حلاقة الشعر والذقن
Elite Care Barber Shop,النرجس,شارع يدمة، حي النرجس، الرياض,غير متوفر,غير متوفر,غير متوفر,تقييم 1.1 من 5، يقدم خدمات حلاقة الشعر والذقن (جودة ضعيفة)
صالون 30 ديقريز,الياسمين,شارع الأمير ناصر بن سعود بن فرحان، حي الياسمين، الرياض,+966 9200 35655,غير متوفر,غير متوفر,تقييم 4.8 من 5، خدمات فاخرة، أجواء مريحة، بث مباريات مباشرة، مشروبات مجانية.
